max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,mean_outer_R2,std_outer_R2,median_best_rounds,fold_1_R2,fold_2_R2,fold_3_R2,fold_4_R2,fold_5_R2,fold_1_best_rounds,fold_2_best_rounds,fold_3_best_rounds,fold_4_best_rounds,fold_5_best_rounds
5,0.02,900,1.0,0.8,1,2.0,0.1,0.7703928895373966,0.1578249447887583,189,0.490990488287789,0.8768401253417779,0.9556184165121502,0.7447247440165479,0.7837906735287188,189,202,426,151,67
5,0.02,1200,1.0,0.8,1,2.0,0.1,0.7703928895373966,0.1578249447887583,189,0.490990488287789,0.8768401253417779,0.9556184165121502,0.7447247440165479,0.7837906735287188,189,202,426,151,67
5,0.02,600,1.0,0.8,3,1.0,0.1,0.7702274452749056,0.14903618932097867,120,0.5005946779870836,0.8996331650962918,0.8992113859719293,0.8254030017076281,0.7262949956115957,120,215,275,115,46
5,0.02,900,1.0,0.8,3,1.0,0.1,0.7702274452749056,0.14903618932097867,120,0.5005946779870836,0.8996331650962918,0.8992113859719293,0.8254030017076281,0.7262949956115957,120,215,275,115,46
5,0.02,1200,1.0,0.8,3,1.0,0.1,0.7702274452749056,0.14903618932097867,120,0.5005946779870836,0.8996331650962918,0.8992113859719293,0.8254030017076281,0.7262949956115957,120,215,275,115,46
3,0.05,600,1.0,0.8,3,2.0,0.1,0.7696377163836148,0.1353336327099032,55,0.5724981184491531,0.8882748102004066,0.9183382590074819,0.8183881035909919,0.6506892906700403,47,88,99,55,18
3,0.05,900,1.0,0.8,3,2.0,0.1,0.7696377163836148,0.1353336327099032,55,0.5724981184491531,0.8882748102004066,0.9183382590074819,0.8183881035909919,0.6506892906700403,47,88,99,55,18
3,0.05,1200,1.0,0.8,3,2.0,0.1,0.7696377163836148,0.1353336327099032,55,0.5724981184491531,0.8882748102004066,0.9183382590074819,0.8183881035909919,0.6506892906700403,47,88,99,55,18
7,0.02,600,1.0,0.8,1,2.0,0.1,0.7693352036668475,0.1582805869214264,189,0.48946096935019945,0.877647362579876,0.9543163167707457,0.7414766578099279,0.7837747118234887,189,202,450,151,67
7,0.02,900,1.0,0.8,1,2.0,0.1,0.7693352036668475,0.1582805869214264,189,0.48946096935019945,0.877647362579876,0.9543163167707457,0.7414766578099279,0.7837747118234887,189,202,450,151,67
7,0.02,1200,1.0,0.8,1,2.0,0.1,0.7693352036668475,0.1582805869214264,189,0.48946096935019945,0.877647362579876,0.9543163167707457,0.7414766578099279,0.7837747118234887,189,202,450,151,67
5,0.1,600,1.0,0.8,1,1.0,0.1,0.7692144536016132,0.16947447256984266,32,0.4729326371504271,0.9166318021292167,0.9512565778921951,0.7668291707568224,0.7384220800794048,32,47,80,29,9
5,0.1,900,1.0,0.8,1,1.0,0.1,0.7692144536016132,0.16947447256984266,32,0.4729326371504271,0.9166318021292167,0.9512565778921951,0.7668291707568224,0.7384220800794048,32,47,80,29,9
5,0.1,1200,1.0,0.8,1,1.0,0.1,0.7692144536016132,0.16947447256984266,32,0.4729326371504271,0.9166318021292167,0.9512565778921951,0.7668291707568224,0.7384220800794048,32,47,80,29,9
5,0.1,600,1.0,0.8,3,1.0,0.0,0.769114766098543,0.11766887157247272,23,0.6092275376081024,0.9012968518385313,0.8444280208617858,0.8437699264028188,0.6468514937814763,19,41,90,23,7
5,0.1,900,1.0,0.8,3,1.0,0.0,0.769114766098543,0.11766887157247272,23,0.6092275376081024,0.9012968518385313,0.8444280208617858,0.8437699264028188,0.6468514937814763,19,41,90,23,7
5,0.1,1200,1.0,0.8,3,1.0,0.0,0.769114766098543,0.11766887157247272,23,0.6092275376081024,0.9012968518385313,0.8444280208617858,0.8437699264028188,0.6468514937814763,19,41,90,23,7
5,0.1,600,1.0,1.0,3,2.0,0.1,0.7672235276875378,0.1258475186072643,25,0.5614592315595521,0.8733789878565213,0.910242858842431,0.7912528282054612,0.6997837319737235,25,41,94,23,10
5,0.1,900,1.0,1.0,3,2.0,0.1,0.7672235276875378,0.1258475186072643,25,0.5614592315595521,0.8733789878565213,0.910242858842431,0.7912528282054612,0.6997837319737235,25,41,94,23,10
5,0.1,1200,1.0,1.0,3,2.0,0.1,0.7672235276875378,0.1258475186072643,25,0.5614592315595521,0.8733789878565213,0.910242858842431,0.7912528282054612,0.6997837319737235,25,41,94,23,10
7,0.1,600,1.0,0.8,3,1.0,0.0,0.7669909488233047,0.11643231300904905,23,0.6084545730851623,0.8990976126042705,0.8369804222696603,0.8435706423759538,0.6468514937814763,19,40,93,23,7
7,0.1,900,1.0,0.8,3,1.0,0.0,0.7669909488233047,0.11643231300904905,23,0.6084545730851623,0.8990976126042705,0.8369804222696603,0.8435706423759538,0.6468514937814763,19,40,93,23,7
7,0.1,1200,1.0,0.8,3,1.0,0.0,0.7669909488233047,0.11643231300904905,23,0.6084545730851623,0.8990976126042705,0.8369804222696603,0.8435706423759538,0.6468514937814763,19,40,93,23,7
5,0.05,600,1.0,0.8,3,1.0,0.0,0.766588096121685,0.13081105812328572,46,0.5562721439994271,0.9034185383007742,0.8764614626985655,0.8186369620064973,0.6781513736031605,46,85,137,42,16
5,0.05,900,1.0,0.8,3,1.0,0.0,0.766588096121685,0.13081105812328572,46,0.5562721439994271,0.9034185383007742,0.8764614626985655,0.8186369620064973,0.6781513736031605,46,85,137,42,16
5,0.05,1200,1.0,0.8,3,1.0,0.0,0.766588096121685,0.13081105812328572,46,0.5562721439994271,0.9034185383007742,0.8764614626985655,0.8186369620064973,0.6781513736031605,46,85,137,42,16
7,0.1,600,1.0,1.0,3,2.0,0.1,0.766417438219931,0.12493714285324786,25,0.5614592315595521,0.8734044880360811,0.9061869113248373,0.7912528282054612,0.6997837319737235,25,41,102,23,10
7,0.1,900,1.0,1.0,3,2.0,0.1,0.766417438219931,0.12493714285324786,25,0.5614592315595521,0.8734044880360811,0.9061869113248373,0.7912528282054612,0.6997837319737235,25,41,102,23,10
7,0.1,1200,1.0,1.0,3,2.0,0.1,0.766417438219931,0.12493714285324786,25,0.5614592315595521,0.8734044880360811,0.9061869113248373,0.7912528282054612,0.6997837319737235,25,41,102,23,10
7,0.05,600,1.0,0.8,3,1.0,0.0,0.7658518912222065,0.1303910528690422,46,0.5556596987646839,0.8998293547570262,0.8774146662499365,0.8182043627362254,0.6781513736031605,46,83,137,42,16
7,0.05,900,1.0,0.8,3,1.0,0.0,0.7658518912222065,0.1303910528690422,46,0.5556596987646839,0.8998293547570262,0.8774146662499365,0.8182043627362254,0.6781513736031605,46,83,137,42,16
7,0.05,1200,1.0,0.8,3,1.0,0.0,0.7658518912222065,0.1303910528690422,46,0.5556596987646839,0.8998293547570262,0.8774146662499365,0.8182043627362254,0.6781513736031605,46,83,137,42,16
3,0.05,600,1.0,1.0,3,1.0,0.0,0.7647039883881972,0.14102210617605393,42,0.5444959105761777,0.8823811326470375,0.932807190191739,0.789745687953721,0.6740900205723104,42,71,78,40,15
3,0.05,900,1.0,1.0,3,1.0,0.0,0.7647039883881972,0.14102210617605393,42,0.5444959105761777,0.8823811326470375,0.932807190191739,0.789745687953721,0.6740900205723104,42,71,78,40,15
3,0.05,1200,1.0,1.0,3,1.0,0.0,0.7647039883881972,0.14102210617605393,42,0.5444959105761777,0.8823811326470375,0.932807190191739,0.789745687953721,0.6740900205723104,42,71,78,40,15
5,0.02,600,1.0,1.0,3,1.0,0.0,0.7624131030008905,0.14550503557677855,109,0.537445670579223,0.885340902449709,0.9205705835894057,0.81666029162299,0.6520480667631251,109,201,255,103,35
